"","a1","a2","a3","a4","a5","a6","a7","a8","a9","a10","a11","a12","a13","a14","a15","a16","a17","a18","a19","a20","a21","a22","a23","a24","a25","a26","a27","a28","a29","a30","X32","X33"
"1","tomato","cilantro","lemon_juice","onion","green_bell_pepper","cayenne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","olive_oil","pepper","lemon_juice","wheat","onion","vinegar","asparagus","parsley","white_wine","garlic","bell_pepper","oregano","basil","vegetable_oil","chicken",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","tomato","pepper","potato","lime_juice","cayenne","cumin","scallion","cilantro","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","tomato","beef","onion","cayenne","corn","black_pepper","cumin","buttermilk","bean","garlic","bell_pepper","oregano","vegetable_oil","egg","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","tomato","garlic","onion","beef","cayenne","cumin","bell_pepper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","olive_oil","cilantro","wheat","onion","cayenne","cumin","lettuce","garlic","bell_pepper","soybean","mozzarella_cheese","lime","turmeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","butter","cheese","ham","onion","potato","cayenne","garlic","tomato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","cane_molasses","olive_oil","pepper","red_wine","tabasco_pepper","seed","cucumber","oregano","olive","tamarind","bread","tomato","vinegar","lemon","onion","parsley","tomato_juice","garlic","beef_broth","egg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","butter","tomato","garlic","onion","chicken","rice","cayenne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","cane_molasses","butter","lemon_juice","wheat","apple","plum","milk","pecan","cinnamon","orange","tequila","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","olive_oil","coconut","lemon_juice","onion","beef","vinegar","black_pepper","rum","sage","garlic","cinnamon","oregano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","tomato","kidney_bean","beef_broth","cayenne","chicken","scallion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","cane_molasses","olive_oil","cilantro","onion","vinegar","lime_juice","cumin","beer","garlic","tamarind",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","butter","brandy","wheat","vanilla","egg","walnut",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","tomato","pork","beef","potato","corn","cayenne","cumin","celery","oregano","vegetable_oil","chicken_broth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","turkey","cheese","wheat","bacon","cayenne","scallion","smoke","raspberry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
